ID,Condition,Age,Gender,Nationality,Education,Robot interaction,Robot movies,Robot control,Robot program,Mental rating,Physical rating,Temporal rating,Performance rating,Effort rating,Frustration rating,Mental tally,Physical tally,Temporal tally,Performance tally,Effort tally,Frustration tally,Mental weight,Physical weight,Temporal weight,Performance weight,Effort weight,Frustration weight,NASA overall,T1 Dependable,T1 Reliable,T1 Unresponsive,T1 Predictable,T1 ActConsistently,T1 FunctionSuccessfully,T1 Malfunction,T1 HaveErrors,T1 ProvideFeedback,T1 MeetTheNeeds,T1 ProvideAppropriateInformation,T1 CommunicateWithPeople,T1 Perform exactly as instructed,T1 Follow Directions,T2 Dependable,T2 Reliable,T2 Unresponsive,T2 Predictable,T2 ActConsistently,T2 FunctionSuccessfully,T2 Malfunction,T2 HaveErrors,T2 ProvideFeedback,T2 MeetTheNeeds,T2 ProvideAppropriateInformation,T2 CommunicateWithPeople,T2 Perform exactly as instructed,T2 Follow Directions,G1 UserScore,G1 RobotScore,G1 UserMistake,G1 RobotMistake,G1 Missed,G1 Total,G2 UserScore,G2 RobotScore,G2 UserMistake,G2 RobotMistake,G2 Missed,G2 Total,Godspeed Incompetent, Godspeed Mechanical,Godspeed Irresponsible,Godspeed  Unconscious,Godspeed Foolish,Godspeed Unpleasant,Godspeed  Ignorant,Godspeed  Artificial,Godspeed Unintelligent,Godspeed Inert,Godspeed Anxious,Godspeed Happy,Godspeed Quiescent,Godspeed Bored,Godspeed Agitated,Godspeed Angry,R1 Missed Yellow,R1 Missed Red,R1 Missed Green,R1 User Correct Yellow,R1 User Correct Red,R1 User Correct Green,R1 Robot Correct Yellow,R1 Robot Correct Red,R1 Robot Correct Green,R1 User Incorrect Yellow,R1 User Incorrect Red,R1 User Incorrect Green,R1 Robot Incorrect Yellow,R1 Robot Incorrect Red,R1 Robot Incorrect Green,R1 color mistake prevented,R1 grasp mistake prevented,R2 Missed Yellow,R2 Missed Red,R2 Missed Green,R2 User Correct Yellow,R2 User Correct Red,R2 User Correct Green,R2 Robot Correct Red,R2 Robot Correct Green,R2 User Incorrect Yellow,R2 User Incorrect Red,R2 User Incorrect Green,R2 Robot Incorrect Red,R2 Robot Incorrect Green,R2 color mistake prevented,R2 grasp mistake prevented
1,visual,29,Female,Danish,MSc,2-5,10+,0,0,55,10,65,25,20,20,3,0,5,4,1,2,0.2,0,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,43.33333333333333,60,50,20,50,40,40,30,20,0,80,0,0,80,0,70,60,20,60,70,70,10,10,0,60,0,0,60,0,26,28,0,0,0,54,22,30,0,6,0,46,2,1,3,2,2,3,3,1,2,1,4,2,2,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,visual,25,Male,Hungarian,BSc,0,2-5,0,0,65,10,35,30,45,45,5,1,3,3,3,0,0.3333333333333333,0.06666666666666667,0.2,0.2,0.2,0,44.3333333333,80,80,20,80,90,90,10,10,0,90,50,0,90,100,60,50,50,50,50,50,50,50,20,60,70,50,50,50,38,2,1,0,0,39,24,28,0,4,0,48,3,1,3,1,3,3,3,1,3,1,4,3,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,written,23,Male,Danish,HighSchool,10+,10+,2-5,0,30,30,50,15,40,15,4,0,1,4,3,3,0.26666666666666666,0,0.06666666666666667,0.26666666666666666,0.2,0.2,26.333333333,50,50,0,100,100,100,0,0,0,50,100,100,100,0,50,50,60,80,50,50,30,60,50,30,20,20,50,70,30,12,0,2,3,37,32,14,0,2,0,44,4,3,4,3,3,3,3,3,3,2,3,2,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,written,22,Male,Danish,HighSchool,10+,10+,10+,5-10,15,5,10,10,35,15,1,0,4,5,2,3,0.06666666666666667,0,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.2,14.666666666666668,90,80,10,90,90,90,10,10,40,70,80,50,90,90,90,90,20,100,100,60,0,0,40,70,50,80,90,100,25,24,1,2,1,45,25,30,0,0,0,55,5,1,2,2,4,5,3,1,3,2,4,1,1,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,written,25,Female,Danish,HighSchool,0,2-5,0,0,80,70,75,30,70,65,5,1,2,2,2,3,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,67.6666666666,60,70,30,80,90,70,20,20,100,80,70,60,70,80,50,30,60,90,80,60,30,40,40,30,60,40,30,40,32,14,0,2,0,44,20,30,0,10,0,40,2,3,3,3,2,3,4,1,3,2,2,3,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,visual,23,Female,Danish,HighSchool,10+,10,5-10,1-2,20,25,30,25,45,65,5,0,3,2,3,2,0.3333333333333333,0,0.2,0.13333333333333333,0.2,0.13333333333333333,33.666666666666664,80,60,20,80,80,70,10,20,70,80,60,60,80,70,60,50,70,60,70,60,0,20,60,60,70,70,60,70,25,20,0,0,5,40,19,28,1,4,4,38,3,1,4,3,3,2,3,1,3,1,5,2,3,4,4,4,,,,,,,,,,,,,,,,,,0,4,0,9,0,10,7,7,1,0,0,2,0,4,4
7,written,23,Male,Danish,HighSchool,10+,10+,10+,5-10,65,25,65,70,60,80,5,0,3,1,2,4,0.3333333333333333,0,0.2,0.06666666666666667,0.13333333333333333,0.26666666666666666,68.66666666,90,90,10,100,100,90,10,10,80,90,80,80,80,80,60,50,40,60,70,60,50,50,90,60,80,90,60,70,29,18,1,2,0,44,24,30,1,0,0,53,3,4,4,3,3,3,3,2,3,4,3,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,written,24,Male,Danish,BSc,2-5,10+,2-5,1-2,70,60,75,30,55,65,5,1,3,3,3,0,0.333,0.06666,0.2,0.2,0.2,0,59.3333,80,80,20,90,80,80,50,0,100,100,50,0,100,50,30,30,20,50,40,0,0,30,0,20,10,0,30,10,23,28,2,2,0,47,21,28,1,8,0,40,2,1,2,1,5,5,1,1,2,1,4,2,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,visual,21,Male,Polish,HighSchool,2-5,10+,2-5,1-2,95,65,85,85,95,15,5,0,3,4,2,1,0.333333,0,0.2,0.266,0.1333,0.0666,85,80,60,10,60,90,90,20,100,10,80,10,0,80,100,20,10,90,10,60,10,60,80,0,20,0,0,20,80,40,0,0,0,0,40,26,22,2,6,0,42,2,1,3,1,2,5,3,1,2,2,3,3,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,visual,25,Female,Hungarian,BSc,10+,10+,10+,10+,20,10,25,15,25,65,2,0,3,4,1,5,0.1333,0,0.2,0.2666,0.0666,0.3333,35,90,90,30,60,90,60,20,10,20,80,50,20,100,70,80,70,90,100,100,90,10,0,0,90,90,70,100,100,26,26,0,2,0,50,23,32,0,0,1,54,3,1,4,2,5,3,1,1,2,4,4,2,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,visual,26,Male,Brazilian,MSc,0,10+,0,0,65,15,50,25,40,10,5,1,4,2,3,0,0.333,0.0666,0.2666,0.1333,0.2,0,47.3333333,60,80,30,80,90,80,20,20,0,60,80,0,80,60,40,80,40,70,90,80,0,30,80,40,80,60,40,60,25,26,0,4,0,47,25,30,0,0,0,55,3,1,3,1,2,5,4,1,3,4,3,1,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,visual,28,Male,Danish,MSc,10+,10+,2-5,0,65,80,15,20,65,20,2,4,2,5,2,0,0.13333,0.26666,0.1333,0.33333,0.13333,0,47.3333333,70,70,0,50,100,100,0,30,100,70,100,90,100,100,60,80,10,90,100,70,10,30,20,60,100,100,60,70,24,24,1,0,3,44,26,24,0,4,0,46,3,1,4,3,4,3,3,1,4,5,5,2,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,written,26,Female,Bulgarian,MSc,0,10+,0,0,40,35,5,25,20,15,5,4,1,2,3,0,0.333,0.266666,0.06666,1.3333333,0.2,0,30.3333333,20,60,20,90,90,80,40,10,50,80,80,50,100,100,80,80,20,70,80,70,10,10,50,70,70,60,80,100,24,26,0,2,2,46,24,22,0,10,0,36,3,1,4,4,4,5,4,1,5,5,5,1,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,written,29,Male,Hungarian,MSc,1-2,2-5,1-2,0,60,25,70,65,65,65,4,0,3,3,1,4,0.2666,0,0.2,0.2,0.06666,0.26666,64.66666,10,90,0,90,90,90,10,10,100,90,90,90,90,90,30,70,30,70,70,70,20,20,70,70,70,70,70,70,28,20,0,4,0,44,22,24,0,10,1,35,3,2,3,3,3,3,3,1,3,3,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,visual,24,Male,Indian,BSc,10+,5-10,10+,10+,70,35,75,5,75,70,4,1,4,4,1,1,0.266666,0.06666,0.2666666,0.266666,0.06666,0.0666666,52,90,80,30,80,90,90,20,30,30,90,40,30,90,90,60,60,60,30,60,60,40,70,30,60,30,30,60,70,35,6,1,2,0,38,24,32,0,0,0,56,4,2,3,2,3,4,2,2,4,2,2,3,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,visual,27,Male,Swiss,BSc,10+,5-10,10+,2-5,85,15,95,75,85,100,4,0,5,2,1,3,0.266666,0,0.333333,0.1333333,0.066666666,0.2,90,70,100,0,80,90,80,10,10,0,80,0,0,80,0,60,90,0,80,80,60,10,0,0,60,0,0,0,0,27,22,0,2,1,46,23,30,0,4,0,49,3,1,4,1,3,3,1,1,2,2,3,3,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,written,27,Male,Dutch,MSc,1-2,10+,0,0,5,15,15,25,10,10,2,4,2,5,2,0,0.1333,0.2666,0.1333,0.333,0.1333,0,16.333,60,70,30,70,100,50,20,20,50,70,70,70,100,50,80,50,50,60,70,50,30,30,0,50,0,0,70,20,28,20,0,4,0,44,29,18,0,4,0,43,4,2,4,1,4,4,3,1,3,2,5,2,2,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,written,26,Male,Danish,BSc,2-5,10+,2-5,0,40,45,40,55,45,25,1,2,3,5,4,0,0.066,0.1333,0.2,0.333,0.2666,0,47,50,30,10,20,20,50,10,10,40,50,30,0,50,80,20,30,0,80,80,60,20,20,100,50,100,100,70,50,38,2,1,0,0,39,28,18,0,4,1,41,2,2,3,3,3,3,3,2,3,2,4,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,written,28,Male,Hungarian,BSc,10+,2-5,10+,10+,30,10,45,15,30,30,0,1,5,4,2,3,0,0.0666,0.333,0.2666,0.1333,0.2,29.666,60,50,50,50,70,60,50,50,80,50,80,50,50,80,70,60,20,80,70,70,30,30,20,70,20,0,70,80,31,10,0,2,3,36,24,26,0,6,0,44,4,1,4,2,3,3,3,2,3,1,4,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,visual,56,Female,Danish,BSc,1-2,10+,5-10,0,55,20,70,70,65,70,4,1,3,4,0,3,0.266,0.0666,0.2,0.2666,0,0.2,62.666,100,100,80,40,80,100,90,90,30,100,80,50,100,100,30,30,50,40,20,70,20,20,80,50,70,50,50,50,22,16,0,2,9,27,24,26,1,4,0,45,4,1,4,2,3,3,3,1,2,2,2,2,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,control,23,Male,Danish,MSc,10+,10+,10+,0,15,10,15,60,15,20,2,1,2,5,1,4,0.1333,0.0666,0.1333,0.333,0.0666,0.2666,31,100,100,50,90,100,100,0,0,50,100,50,50,100,100,60,60,60,60,70,60,20,20,0,70,60,20,70,70,20,24,1,2,6,35,22,24,0,4,4,38,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,all,24,Male,Russian,MSc,5-10,5-10,1-2,0,75,65,60,50,65,50,3,2,2,2,2,4,0.2,0.1333,0.1333,0.1333,0.1333,0.2666,60.3333,50,70,20,90,80,10,20,10,50,70,70,80,90,90,60,40,70,80,60,60,70,70,70,80,40,60,60,70,38,4,0,0,0,42,20,22,1,12,2,27,3,4,3,2,3,4,3,2,4,3,4,3,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,control,30,Male,Rwanda,MSc,0,1-2,0,0,15,60,45,50,35,25,0,4,5,3,1,2,0,0.2666,0.333,0.2,0.0666,0.1333,46.666,30,50,20,70,50,60,30,20,70,80,50,50,60,60,10,50,80,90,90,80,10,20,80,50,70,40,80,80,14,24,2,0,13,23,35,2,1,4,1,31,4,3,5,5,5,4,5,1,5,3,4,2,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,all,35,Male,Kurdish,BSc,0,1-2,0,0,65,80,75,50,65,70,4,0,4,4,1,2,0.2666,0,0.2666,0.2666,0.0666,0.1333,64.333,20,20,30,30,20,20,20,70,40,30,40,30,20,20,40,40,40,30,50,50,50,50,40,40,50,30,40,30,26,10,2,6,4,24,18,20,1,10,6,21,3,2,2,2,2,3,3,3,3,2,2,3,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,all,31,Female,Romanian,MSc,10+,10+,10+,10+,70,35,25,5,20,15,5,1,2,4,3,0,0.333,0.0666,0.1333,0.2666,0.2,0,34.333,90,90,10,100,90,80,0,50,0,80,10,10,80,80,0,0,50,20,0,90,0,0,100,90,100,100,10,10,31,12,0,2,2,39,27,22,0,4,0,45,2,1,1,1,3,3,3,1,3,3,5,1,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,control,27,Female,Spain,MSc,1-2,10,1-2,10+,15,15,60,80,20,25,1,0,5,4,2,3,0.0666,0,0.333,0.2666,0.1333,0.2,50,50,50,10,80,70,60,10,10,30,40,30,10,80,90,50,40,30,60,60,50,40,20,0,80,0,0,70,60,30,12,1,2,2,37,27,16,0,1,8,34,4,1,3,2,4,5,4,1,3,1,2,1,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,all,33,Male,Romanian,MSc,10+,10+,10+,10+,25,50,55,25,30,90,3,2,1,0,4,5,0.2,0.1333,0.0666,0,0.2666,0.3333,53.333,50,50,20,40,60,70,20,10,70,60,60,70,60,60,80,90,10,80,90,80,40,60,90,70,90,90,60,60,26,20,0,6,1,39,26,26,0,2,0,50,4,2,4,3,4,4,4,3,4,5,4,2,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,all,25,Female,Hungarian,MSc,10+,2-5,5-10,2-5,20,5,25,20,25,5,5,1,2,2,4,1,0.333,0.0666,0.1333,0.1333,0.2666,0.06666,20,40,70,10,60,70,70,20,10,80,80,70,70,60,90,60,80,30,70,70,50,20,30,100,70,100,100,70,70,22,20,1,6,4,31,27,26,0,0,0,53,4,2,4,2,3,4,4,2,3,5,5,2,3,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,all,32,Male,Hungarian,BSc,1-2,10+,0,0,60,50,35,35,45,35,4,2,2,4,3,0,0.2666,0.13333,0.13333,0.2666,0.2,0,45.66667,70,80,30,70,70,80,10,20,10,80,30,40,80,90,50,50,10,50,30,40,50,80,0,50,10,0,50,40,34,10,1,0,0,43,28,22,0,2,0,48,3,1,3,1,2,4,1,2,2,1,4,3,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,control,23,Male,Hungarian,BSc,1-2,10+,0,0,20,10,20,30,25,15,4,0,4,3,3,1,0.2666,0,0.2666,0.2,0.2,0.0666,22.666,70,80,30,80,70,80,20,20,40,90,80,30,70,80,50,40,60,40,40,60,60,60,20,30,40,20,40,40,26,16,0,2,5,35,27,14,0,4,4,33,2,2,3,1,3,3,2,2,3,3,4,3,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,all,26,Male,Danish,MSc,10+,10+,10+,10+,40,10,65,20,70,65,4,0,4,4,1,2,0.2666,0,0.266,0.2666,0.0666,0.1333,46.6666,70,80,20,80,70,60,10,10,90,60,90,100,80,30,50,50,30,60,70,50,30,30,70,30,70,70,40,40,27,24,0,2,0,49,25,24,0,4,1,44,3,2,2,1,2,3,3,1,2,2,2,3,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,all,23,Female,Spanish,BSc,0,10+,0,0,70,15,25,55,75,15,5,1,1,3,4,1,0.333,0.0666,0.0666,0.2,0.2666,0.06666,58,30,70,20,60,70,70,20,10,0,70,70,0,70,70,70,30,30,70,40,40,20,20,0,40,0,0,40,60,28,14,1,2,3,36,29,18,0,4,0,43,4,1,3,3,2,2,3,1,2,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,control,24,Female,German,BSc,2-5,10+,0,1-2,25,85,40,15,30,15,5,2,1,4,3,0,0.333,0.1333,0.06666,0.2666,0.2,0,32.3333,80,60,10,70,100,80,20,20,60,70,60,80,70,100,10,10,50,30,20,60,80,90,0,70,0,0,70,0,35,6,0,0,2,39,37,4,0,0,0,41,2,2,2,3,4,3,3,1,3,2,4,2,2,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,control,63,Female,Danish,BSc,0,1-2,0,0,25,40,70,25,60,20,1,0,3,5,4,2,0.06666,0,0.2,0.33333,0.26666,0.1333,42.6666,50,100,50,100,100,100,0,0,100,100,100,70,100,100,100,90,50,70,70,100,0,0,0,100,0,0,100,100,11,28,2,2,0,35,22,22,1,10,0,33,5,3,3,1,4,3,3,3,4,5,2,1,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,control,29,Male,Danish,BSc,10+,10+,10+,10+,25,15,10,10,30,50,3,0,2,5,1,4,0.2,0,0.133,0.333,0.0666,0.2666,25,80,80,40,60,80,80,10,10,0,70,0,0,80,20,80,80,10,70,90,80,10,0,0,70,70,10,80,80,25,18,0,4,4,35,24,26,0,4,1,45,4,1,4,1,3,3,4,2,4,1,4,2,3,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,control,25,Female,Polish,BSc,10+,10+,10+,10+,50,70,40,100,100,100,1,4,3,4,2,1,0.0666,0.2666,0.2,0.266,0.1333,0.0666,76.666,60,40,30,60,80,80,10,10,100,100,100,100,80,50,20,20,10,0,10,10,0,0,0,0,10,20,10,10,35,4,1,4,0,34,32,12,1,2,0,41,1,3,1,3,2,1,1,4,1,3,2,3,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,all,24,Male,Danish,BSc,10+,10+,0,0,20,15,15,25,35,65,5,0,4,2,3,1,0.333,0,0.2666,0.1333,0.2,0.0666,25.3333,50,50,20,80,40,40,60,60,80,70,80,80,20,40,70,70,20,90,70,80,30,30,90,90,90,90,80,90,20,6,0,2,16,8,24,30,0,2,0,52,4,1,3,2,3,4,4,1,3,2,4,2,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,control,41,Male,Mexican,BSc,1-2,10+,1-2,1-2,80,10,10,45,70,80,3,0,3,5,3,1,0.2,0,0.2,0.333,0.2,0.0666,52.333,20,80,20,50,80,80,20,10,10,50,80,10,100,100,70,60,40,70,60,80,10,10,0,70,0,0,50,100,23,24,2,4,1,40,22,30,0,6,0,46,4,1,5,1,3,5,5,1,1,3,1,1,3,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,all,22,Male,Danish,BSc,10+,10+,10+,0,40,15,35,15,30,15,4,0,5,1,3,2,0.2666,0,0.3333,0.0666,0.2,0.1333,31.3333,90,90,20,80,90,90,0,0,90,90,80,60,90,90,70,70,10,90,80,90,10,10,70,90,70,90,70,70,27,24,2,0,0,49,22,32,2,0,0,52,4,2,4,2,4,5,3,2,3,4,4,2,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,control,27,Female,Hungarian,BSc,0,1-2,0,0,55,5,40,50,45,45,4,0,3,4,3,1,0.26666666666666666,0,0.2,0.2666,0.2,0.06666,48,100,100,40,100,100,90,10,10,0,100,100,0,100,100,50,50,70,20,70,40,80,80,0,40,10,0,90,80,28,16,0,4,2,38,28,14,0,6,2,34,2,1,3,3,3,3,2,1,5,3,3,3,3,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,